,省份,时间,学科类别,批次,分数线
1351,陕西,2016年,理科,三批,344
1352,陕西,2016年,文科,专科,225
1353,陕西,2016年,理科,专科,200
1354,陕西,2016年,文科,艺术类本科,299
1355,陕西,2016年,理科,艺术类本科,245
1356,陕西,2015年,文科,一批,510
1357,陕西,2015年,理科,一批,480
1358,陕西,2015年,文科,二批,467
1359,陕西,2015年,理科,二批,440
1360,陕西,2015年,文科,三批,382
1361,陕西,2015年,理科,三批,350
1362,陕西,2014年,文科,一批,548
1363,陕西,2014年,理科,一批,503
1364,陕西,2014年,文科,二批,492
1365,陕西,2014年,理科,二批,452
1366,陕西,2014年,文科,三批,387
1367,陕西,2014年,理科,三批,342
1368,陕西,2014年,文科,专科,273
1369,陕西,2014年,理科,专科,256
1370,甘肃,2019年,文科,一批,519
1371,甘肃,2019年,理科,一批,470
1372,甘肃,2019年,文科,二批,400
1373,甘肃,2019年,理科,二批,366
1374,甘肃,2019年,文科,高职,160
1375,甘肃,2019年,理科,高职,160
1376,甘肃,2018年,文科,一批,502
1377,甘肃,2018年,理科,一批,483
1378,甘肃,2018年,文科,二批,456
1379,甘肃,2018年,理科,二批,436
1380,甘肃,2018年,文科,三批,380
1381,甘肃,2018年,理科,三批,370
1382,甘肃,2018年,文科,高职,180
1383,甘肃,2018年,理科,高职,180
1384,甘肃,2018年,文科,民族院校民族班,400
1385,甘肃,2018年,理科,民族院校民族班,380
1386,甘肃,2017年,文科,一批,505
1387,甘肃,2017年,理科,一批,460
1388,甘肃,2017年,文科,二批,458
1389,甘肃,2017年,理科,二批,408
1390,甘肃,2017年,文科,三批,383
1391,甘肃,2017年,理科,三批,337
1392,甘肃,2017年,文科,专科,180
1393,甘肃,2017年,理科,专科,180
1394,甘肃,2016年,文科,一批,504
1395,甘肃,2016年,理科,一批,490
1396,甘肃,2016年,文科,二批,455
1397,甘肃,2016年,理科,二批,435
1398,甘肃,2016年,文科,三批,391
1399,甘肃,2016年,理科,三批,367
1400,甘肃,2016年,文科,专科,200
1401,甘肃,2016年,理科,专科,200
1402,甘肃,2015年,文科,一批,517
1403,甘肃,2015年,理科,一批,475
1404,甘肃,2015年,文科,二批,465
1405,甘肃,2015年,理科,二批,417
1406,甘肃,2015年,文科,三批,415
1407,甘肃,2015年,理科,三批,355
1408,甘肃,2015年,文科,民族班,420
1409,甘肃,2015年,理科,民族班,370
1410,甘肃,2014年,文科,一批,543
1411,甘肃,2014年,理科,一批,516
1412,甘肃,2014年,文科,二批,499
1413,甘肃,2014年,理科,二批,459
1414,甘肃,2014年,文科,三批,446
1415,甘肃,2014年,理科,三批,350
1416,甘肃,2014年,文科,民族班,430
1417,甘肃,2014年,理科,民族班,395
1418,宁夏,2019年,文科,一批,538
1419,宁夏,2019年,理科,一批,457
1420,宁夏,2019年,文科,二批,455
1421,宁夏,2019年,理科,二批,381
1422,宁夏,2019年,文科,高职,200
1423,宁夏,2019年,理科,高职,200
1424,宁夏,2018年,文科,一批,528
1425,宁夏,2018年,理科,一批,463
1426,宁夏,2018年,文科,二批,498
1427,宁夏,2018年,理科,二批,432
1428,宁夏,2018年,文科,三批,418
1429,宁夏,2018年,理科,三批,352
1430,宁夏,2018年,文科,专科,200
1431,宁夏,2018年,理科,专科,200
1432,宁夏,2017年,文科,一批,519
1433,宁夏,2017年,理科,一批,439
1434,宁夏,2017年,文科,二批,487
1435,宁夏,2017年,理科,二批,408
1436,宁夏,2017年,文科,三批,407
1437,宁夏,2017年,理科,三批,328
1438,宁夏,2017年,文科,专科,200
1439,宁夏,2017年,理科,专科,200
1440,宁夏,2016年,文科,一批,516
1441,宁夏,2016年,理科,一批,465
1442,宁夏,2016年,文科,二批,486
1443,宁夏,2016年,理科,二批,434
1444,宁夏,2016年,文科,三批,406
1445,宁夏,2016年,理科,三批,354
1446,宁夏,2016年,文科,专科,200
1447,宁夏,2016年,理科,专科,200
1448,宁夏,2016年,文科,体育类一批,474
1449,宁夏,2016年,理科,体育类一批,423
1450,宁夏,2016年,文科,体育类二批,411
1451,宁夏,2016年,理科,体育类二批,362
1452,宁夏,2015年,文科,一批,507
1453,宁夏,2015年,理科,一批,445
1454,宁夏,2015年,文科,二批,478
1455,宁夏,2015年,理科,二批,416
1456,宁夏,2015年,文科,三批,378
1457,宁夏,2015年,理科,三批,316
1458,宁夏,2015年,文科,专科,200
1459,宁夏,2015年,理科,专科,200
1460,宁夏,2014年,文科,一批,517
1461,宁夏,2014年,理科,一批,473
1462,宁夏,2014年,文科,二批,486
1463,宁夏,2014年,理科,二批,440
1464,宁夏,2014年,文科,三批,370
1465,宁夏,2014年,理科,三批,320
1466,青海,2019年,文科,一批,488
1467,青海,2019年,理科,一批,407
1468,青海,2019年,文科,二批,444
1469,青海,2019年,理科,二批,376
1470,青海,2019年,文科,三批,405
1471,青海,2019年,理科,三批,348
1472,青海,2019年,文科,专科,160
1473,青海,2019年,理科,专科,160
1474,青海,2018年,文科,一批,475
1475,青海,2018年,理科,一批,403
1476,青海,2018年,文科,二批,424
1477,青海,2018年,理科,二批,365
1478,青海,2018年,文科,三批,377
1479,青海,2018年,理科,三批,334
1480,青海,2018年,文科,藏汉双语,455
1481,青海,2018年,理科,藏汉双语,399
1482,青海,2018年,文科,体育本科,367
1483,青海,2018年,理科,体育本科,310
1484,青海,2017年,文科,一批,463
1485,青海,2017年,理科,一批,391
1486,青海,2017年,文科,二批,421
1487,青海,2017年,理科,二批,356
1488,青海,2017年,文科,三批,382
1489,青海,2017年,理科,三批,328
1490,青海,2017年,文科,专科,200
1491,青海,2017年,理科,专科,200
1492,青海,2016年,文科,一批,457
1493,青海,2016年,理科,一批,416
1494,青海,2016年,文科,二批,415
1495,青海,2016年,理科,二批,380
1496,青海,2016年,文科,三批,379
1497,青海,2016年,理科,三批,353
1498,青海,2016年,文科,专科,200
1499,青海,2016年,理科,专科,200
1500,青海,2015年,文科,一批,466
1501,青海,2015年,理科,一批,400
1502,青海,2015年,文科,二批,420
1503,青海,2015年,理科,二批,363
1504,青海,2015年,文科,三批,382
1505,青海,2015年,理科,三批,339
1506,青海,2015年,文科,专科,200
1507,青海,2015年,理科,专科,200
1508,青海,2014年,文科,一批,473
1509,青海,2014年,理科,一批,406
1510,青海,2014年,文科,二批,426
1511,青海,2014年,理科,二批,362
1512,青海,2014年,文科,三批,386
1513,青海,2014年,理科,三批,330
1514,青海,2014年,文科,专科,200
1515,青海,2014年,理科,专科,200
1516,青海,2014年,文科,体育类本科,331
1517,青海,2014年,理科,体育类本科,280
1518,青海,2014年,文科,体育类专科,248
1519,青海,2014年,理科,体育类专科,242
1520,新疆,2019年,文科,汉语言本科一批,510
1521,新疆,2019年,理科,汉语言本科一批,450
1522,新疆,2019年,文科,汉语言本科二批,387
1523,新疆,2019年,理科,汉语言本科二批,326
1524,新疆,2019年,文科,汉语言专科,180
1525,新疆,2019年,理科,汉语言专科,180
1526,新疆,2018年,文科,汉语言本科一批,500
1527,新疆,2018年,理科,汉语言本科一批,467
1528,新疆,2018年,文科,汉语言本科二批,372
1529,新疆,2018年,理科,汉语言本科二批,341
1530,新疆,2018年,文科,汉语言专科,200
1531,新疆,2018年,理科,汉语言专科,200
1532,新疆,2017年,文科,汉语言本科一批,486
1533,新疆,2017年,理科,汉语言本科一批,437
1534,新疆,2017年,文科,汉语言本科二批,375
1535,新疆,2017年,理科,汉语言本科二批,333
1536,新疆,2017年,文科,汉语言专科,200
1537,新疆,2017年,理科,汉语言专科,200
1538,新疆,2016年,文科,汉语本科一批,487
1539,新疆,2016年,理科,汉语本科一批,464
1540,新疆,2016年,文科,汉语本科二批,415
1541,新疆,2016年,理科,汉语本科二批,394
1542,新疆,2016年,文科,汉语本科三批,372
1543,新疆,2016年,理科,汉语本科三批,363
1544,新疆,2016年,文科,汉语言高职,200
1545,新疆,2016年,理科,汉语言高职,200
1546,新疆,2015年,文科,汉语言本科一批,486
1547,新疆,2015年,理科,汉语言本科一批,446
1548,新疆,2015年,文科,民语言本科一批,424
1549,新疆,2015年,理科,民语言本科一批,334
1550,新疆,2015年,文科,汉语言本科二批,414
1551,新疆,2015年,理科,汉语言本科二批,381
1552,新疆,2015年,文科,民语言本科二批,394
1553,新疆,2015年,理科,民语言本科二批,304
1554,新疆,2015年,文科,汉语言本科三批,368
1555,新疆,2015年,理科,汉语言本科三批,350
1556,新疆,2015年,文科,汉语言专科,299
1557,新疆,2015年,理科,汉语言专科,265
1558,新疆,2014年,文科,汉语言本科一批,516
1559,新疆,2014年,理科,汉语言本科一批,475
1560,新疆,2014年,文科,民语言本科一批,456
1561,新疆,2014年,理科,民语言本科一批,359
1562,新疆,2014年,文科,汉语言本科二批,446
1563,新疆,2014年,理科,汉语言本科二批,405
1564,新疆,2014年,文科,民语言本科二批,424
1565,新疆,2014年,理科,民语言本科二批,327
1566,新疆,2014年,文科,汉语言本科三批,389
1567,新疆,2014年,理科,汉语言本科三批,360
1568,新疆,2014年,文科,汉语言专科一批,300
1569,新疆,2014年,理科,汉语言专科一批,265
