,province_id,year,types,score
0,14,2019,1,497.00
1,14,2018,1,488.00
2,15,2019,1,319.00
3,33,2019,3,595.00
4,33,2018,3,588.00
5,33,2017,3,577.00
6,34,2019,1,514.00
7,34,2018,1,504.00
8,34,2017,1,411.00
9,35,2019,1,384.00
10,36,2019,1,516.00
11,36,2018,1,487.00
12,36,2017,1,424.00
13,41,2019,1,512.00
14,41,2018,1,501.00
15,41,2017,1,480.00
16,44,2019,1,483.00
17,44,2018,1,446.00
18,45,2019,1,491.00
19,45,2018,2,420.00
20,45,2018,1,420.00
21,51,2019,1,554.00
22,51,2018,1,532.00
23,52,2019,1,462.00
24,52,2018,1,475.00
25,52,2017,1,448.00
26,53,2019,1,543.00
27,53,2018,1,526.00
28,53,2017,1,494.00
29,62,2019,1,476.00
30,62,2018,1,481.00
31,62,2017,1,451.00
32,65,2019,1,434.00
33,65,2018,1,430.00
