,province_id,year,types,score
0,11,2019,2,499.00
1,11,2019,1,465.00
2,11,2018,2,513.00
3,11,2018,1,471.00
4,11,2017,2,490.00
5,11,2017,1,475.00
6,12,2019,2,479.00
7,12,2019,1,451.00
8,12,2018,2,497.00
9,12,2018,1,455.00
10,12,2017,1,417.00
11,13,2019,2,529.00
12,13,2019,1,493.00
13,13,2018,2,554.00
14,13,2018,1,501.00
15,13,2017,2,507.00
16,13,2017,1,464.00
17,14,2019,2,515.00
18,14,2019,1,454.00
19,14,2018,2,517.00
20,14,2018,1,469.00
21,14,2017,2,486.00
22,14,2017,1,432.00
23,15,2019,2,497.00
24,15,2019,1,401.00
25,15,2019,32,389.00
26,15,2019,33,303.00
27,15,2018,2,483.00
28,15,2018,1,389.00
29,15,2017,1,394.00
30,21,2019,2,542.00
31,21,2019,1,471.00
32,21,2018,2,528.00
33,21,2018,1,479.00
34,21,2017,2,494.00
35,21,2017,1,435.00
36,22,2019,2,481.00
37,22,2019,1,437.00
38,22,2018,2,264.00
39,22,2017,1,405.00
40,23,2019,2,503.00
41,23,2019,1,482.00
42,23,2018,2,493.00
43,23,2018,1,485.00
44,23,2017,2,481.00
45,23,2017,1,470.00
46,32,2019,1,327.00
47,32,2019,2,319.00
48,32,2018,2,319.00
49,32,2018,1,316.00
50,32,2017,2,313.00
51,32,2017,1,307.00
52,33,2019,3,553.00
53,33,2018,3,547.00
54,33,2017,3,524.00
55,34,2019,2,542.00
56,34,2019,1,481.00
57,34,2018,2,538.00
58,34,2018,1,488.00
59,34,2017,2,496.00
60,34,2017,1,464.00
61,35,2019,2,510.00
62,35,2019,1,433.00
63,35,2018,2,507.00
64,35,2018,1,429.00
65,35,2017,2,436.00
66,35,2017,1,373.00
67,36,2019,2,545.00
68,36,2019,1,489.00
69,36,2018,2,550.00
70,36,2018,1,489.00
71,36,2017,2,506.00
72,36,2017,1,458.00
73,37,2019,2,535.00
74,37,2019,1,489.00
75,37,2018,2,543.00
76,37,2018,1,485.00
77,37,2017,2,519.00
78,37,2017,1,478.00
79,41,2019,2,525.00
80,41,2019,1,481.00
81,41,2018,2,533.00
82,41,2018,1,477.00
83,41,2017,2,492.00
84,41,2017,1,450.00
85,42,2019,2,509.00
86,42,2019,1,459.00
87,42,2018,2,533.00
88,42,2018,1,456.00
89,42,2017,2,496.00
90,42,2017,1,424.00
91,43,2019,2,534.00
92,43,2019,1,475.00
93,43,2018,2,547.00
94,43,2018,1,477.00
95,43,2017,2,504.00
96,43,2017,1,447.00
97,44,2019,2,523.00
98,44,2019,1,446.00
99,44,2018,2,512.00
100,44,2018,1,438.00
101,44,2017,2,476.00
102,44,2017,1,420.00
103,45,2019,2,453.00
104,45,2019,1,414.00
105,45,2018,2,501.00
106,45,2018,1,410.00
107,45,2017,2,447.00
108,45,2017,1,377.00
109,46,2019,2,630.00
110,46,2019,1,561.00
111,46,2018,2,623.00
112,46,2018,1,562.00
113,46,2017,2,620.00
114,46,2017,1,556.00
115,50,2019,2,522.00
116,50,2019,1,474.00
117,50,2018,2,500.00
118,50,2018,1,487.00
119,50,2017,2,497.00
120,50,2017,1,450.00
121,51,2019,2,527.00
122,51,2019,1,518.00
123,51,2018,2,543.00
124,51,2018,1,516.00
125,51,2017,2,522.00
126,51,2017,1,483.00
127,52,2019,2,511.00
128,52,2019,1,413.00
129,52,2018,2,542.00
130,52,2018,1,431.00
131,52,2017,2,512.00
132,52,2017,1,402.00
133,53,2019,2,534.00
134,53,2019,1,478.00
135,53,2018,2,546.00
136,53,2018,1,460.00
137,53,2017,2,518.00
138,61,2019,2,506.00
139,61,2019,1,457.00
140,61,2018,2,495.00
141,61,2018,1,446.00
142,61,2017,2,480.00
143,61,2017,1,419.00
144,62,2019,2,507.00
145,62,2019,1,454.00
146,62,2018,2,486.00
147,62,2018,1,460.00
148,62,2017,2,480.00
149,62,2017,1,453.00
150,63,2019,2,461.00
151,63,2019,1,377.00
152,63,2018,2,441.00
153,63,2018,1,366.00
154,63,2017,1,361.00
155,64,2019,2,523.00
156,64,2019,1,436.00
157,64,2018,2,498.00
158,64,2018,1,435.00
159,64,2017,2,501.00
160,64,2017,1,411.00
161,65,2019,2,485.00
162,65,2019,1,424.00
163,65,2018,2,469.00
164,65,2018,1,447.00
165,65,2017,1,409.00
166,31,2018,3,406.00
167,54,2018,2,335.00
168,54,2018,1,307.00
169,54,2017,1,235.00
