,province_id,year,types,score
0,13,2019,2,540.00
1,13,2019,1,479.00
2,13,2018,2,551.00
3,13,2018,1,507.00
4,13,2017,2,505.00
5,13,2017,1,471.00
6,14,2019,2,519.00
7,14,2019,1,478.00
8,14,2018,2,519.00
9,14,2018,1,471.00
10,14,2017,2,485.00
11,14,2017,1,452.00
12,21,2019,2,539.00
13,21,2019,1,481.00
14,21,2018,2,535.00
15,21,2018,1,512.00
16,21,2017,1,523.00
17,21,2017,2,508.00
18,22,2019,1,560.00
19,22,2018,1,480.00
20,22,2017,1,549.00
21,22,2017,2,428.00
22,23,2019,1,560.00
23,23,2019,2,477.00
24,23,2018,1,566.00
25,23,2018,2,455.00
26,23,2017,1,536.00
27,23,2017,2,453.00
28,32,2019,1,329.00
29,32,2018,1,323.00
30,32,2017,1,313.00
31,32,2017,2,309.00
32,33,2019,3,558.00
33,33,2018,3,588.00
34,33,2017,3,536.00
35,34,2019,1,476.00
36,34,2018,1,488.00
37,34,2017,1,468.00
38,35,2019,1,459.00
39,35,2018,1,449.00
40,35,2017,2,425.00
41,35,2017,1,416.00
42,37,2019,1,508.00
43,37,2018,1,507.00
44,37,2017,1,480.00
45,41,2019,1,496.00
46,41,2018,1,537.00
47,41,2017,1,475.00
48,43,2019,2,541.00
49,43,2019,1,476.00
50,43,2018,2,549.00
51,43,2018,1,494.00
52,43,2017,2,502.00
53,43,2017,1,460.00
54,45,2019,1,348.00
55,45,2018,2,457.00
56,45,2017,1,360.00
57,51,2019,1,522.00
58,51,2018,1,537.00
59,51,2017,1,477.00
60,52,2019,2,502.00
61,52,2019,1,437.00
62,52,2018,2,525.00
63,52,2018,1,456.00
64,52,2017,2,484.00
65,52,2017,1,424.00
66,53,2019,1,498.00
67,53,2018,1,509.00
68,53,2017,1,477.00
