,province_id,year,types,score
0,13,2019,2,457.00
1,13,2019,1,390.00
2,13,2018,2,436.00
3,13,2018,1,371.00
4,13,2017,2,375.00
5,13,2017,1,334.00
6,14,2019,2,368.00
7,14,2019,1,313.00
8,14,2018,2,345.00
9,14,2018,1,302.00
10,14,2017,2,320.00
11,14,2017,1,286.00
12,33,2019,3,496.00
13,33,2018,3,490.00
14,33,2017,3,480.00
15,34,2019,2,500.00
16,34,2019,1,411.00
17,34,2018,2,481.00
18,34,2018,1,417.00
19,34,2017,2,430.00
20,34,2017,1,400.00
21,35,2019,2,385.00
22,35,2019,1,326.00
23,36,2019,2,426.00
24,36,2019,1,402.00
25,36,2018,2,413.00
26,36,2018,1,366.00
27,36,2017,1,417.00
28,36,2017,2,397.00
29,37,2019,2,494.00
30,37,2019,1,435.00
31,37,2018,2,483.00
32,37,2018,1,410.00
33,37,2017,2,459.00
34,37,2017,1,395.00
35,42,2019,2,417.00
36,42,2019,1,384.00
37,42,2018,2,428.00
38,42,2018,1,366.00
39,42,2017,2,388.00
40,42,2017,1,338.00
41,43,2019,2,476.00
42,43,2019,1,394.00
43,43,2018,2,408.00
44,43,2018,1,360.00
45,43,2017,2,428.00
46,43,2017,1,339.00
47,44,2019,2,436.00
48,44,2019,1,341.00
49,44,2018,2,431.00
50,44,2018,1,334.00
51,44,2017,2,396.00
52,44,2017,1,310.00
53,45,2019,2,345.00
54,45,2019,1,231.00
55,45,2018,2,348.00
56,45,2018,1,310.00
57,45,2017,2,274.00
58,45,2017,1,248.00
59,46,2019,2,556.00
60,46,2019,1,483.00
61,46,2018,1,483.00
62,46,2018,2,457.00
63,46,2017,2,485.00
64,46,2017,1,471.00
65,50,2019,1,417.00
66,50,2019,2,367.00
67,50,2018,1,242.00
68,50,2018,2,235.00
69,50,2017,1,245.00
70,50,2017,2,230.00
71,51,2019,2,408.00
72,51,2019,1,398.00
73,51,2018,1,403.00
74,51,2018,2,378.00
75,51,2017,2,190.00
76,51,2017,1,180.00
77,52,2019,2,407.00
78,52,2019,1,337.00
79,52,2018,2,438.00
80,52,2018,1,354.00
81,52,2017,2,372.00
82,52,2017,1,323.00
83,53,2019,2,464.00
84,53,2019,1,404.00
85,53,2018,2,468.00
86,53,2018,1,397.00
87,53,2017,2,453.00
88,53,2017,1,419.00
89,61,2019,2,375.00
90,61,2019,1,341.00
91,61,2018,1,275.00
92,61,2018,2,188.00
93,61,2017,1,268.00
94,61,2017,2,249.00
95,62,2019,2,371.00
96,62,2019,1,357.00
97,62,2017,2,347.00
98,62,2017,1,311.00
99,65,2019,2,339.00
100,65,2019,1,305.00
101,65,2018,1,334.00
102,65,2018,2,309.00
103,65,2017,1,294.00
104,65,2017,2,243.00
105,32,2018,1,248.00
106,32,2018,2,228.00
107,32,2017,2,243.00
108,32,2017,1,233.00
109,41,2018,2,416.00
110,41,2018,1,368.00
111,41,2017,2,352.00
112,41,2017,1,329.00
