,province_id,year,types,score
0,14,2019,1,130.00
1,14,2019,2,130.00
2,14,2018,1,150.00
3,14,2018,2,150.00
4,14,2017,1,130.00
5,14,2017,2,130.00
6,33,2019,3,333.00
7,33,2018,3,378.00
8,33,2017,3,360.00
9,34,2019,2,426.00
10,34,2019,1,321.00
11,34,2018,2,391.00
12,34,2018,1,325.00
13,34,2017,2,332.00
14,34,2017,1,317.00
15,36,2019,2,160.00
16,36,2019,1,160.00
17,36,2018,2,160.00
18,36,2018,1,160.00
19,36,2017,1,249.00
20,36,2017,2,180.00
21,42,2019,1,200.00
22,42,2019,2,200.00
23,42,2018,1,200.00
24,42,2018,2,200.00
25,42,2017,1,200.00
26,42,2017,2,200.00
27,45,2019,1,267.00
28,51,2019,1,150.00
29,51,2019,2,150.00
30,51,2018,2,190.00
31,51,2018,1,180.00
32,51,2017,2,190.00
33,51,2017,1,180.00
34,52,2019,2,253.00
35,52,2019,1,186.00
36,52,2018,1,226.00
37,52,2018,2,212.00
38,52,2017,2,297.00
39,52,2017,1,219.00
40,62,2019,1,160.00
41,62,2019,2,160.00
42,62,2017,1,180.00
43,62,2017,2,180.00
44,63,2019,2,297.00
45,63,2019,1,237.00
46,41,2018,2,239.00
47,41,2018,1,227.00
48,41,2017,1,273.00
