,province_id,year,types,score
0,13,2019,2,327.00
1,13,2019,1,247.00
2,13,2018,2,200.00
3,14,2019,2,130.00
4,14,2019,1,130.00
5,14,2018,1,150.00
6,14,2018,2,150.00
7,14,2017,1,130.00
8,14,2017,2,130.00
9,15,2019,2,258.00
10,15,2019,1,167.00
11,21,2019,2,460.00
12,21,2019,1,367.00
13,21,2018,2,463.00
14,21,2018,1,385.00
15,21,2017,2,379.00
16,21,2017,1,306.00
17,22,2019,2,303.00
18,22,2019,1,284.00
19,23,2019,2,354.00
20,23,2019,1,335.00
21,23,2018,1,223.00
22,23,2018,2,163.00
23,23,2017,2,213.00
24,23,2017,1,161.00
25,34,2019,2,285.00
26,34,2018,1,212.00
27,34,2018,2,206.00
28,34,2017,1,222.00
29,34,2017,2,203.00
30,37,2019,2,420.00
31,37,2019,1,369.00
32,37,2018,2,437.00
33,37,2018,1,329.00
34,37,2017,2,362.00
35,37,2017,1,296.00
36,45,2019,2,222.00
37,45,2019,1,219.00
38,45,2018,2,261.00
39,45,2017,2,203.00
40,45,2017,1,195.00
41,50,2019,2,246.00
42,50,2019,1,242.00
43,50,2018,1,166.00
44,50,2018,2,158.00
45,50,2017,1,183.00
46,50,2017,2,140.00
47,51,2019,1,150.00
48,51,2019,2,150.00
49,51,2018,2,315.00
50,51,2018,1,180.00
51,51,2017,2,304.00
52,51,2017,1,196.00
53,52,2019,2,331.00
54,52,2019,1,239.00
55,52,2018,2,386.00
56,52,2018,1,287.00
57,52,2017,1,241.00
58,52,2017,2,216.00
59,53,2019,2,392.00
60,53,2019,1,249.00
61,53,2018,2,376.00
62,53,2018,1,349.00
63,53,2017,2,387.00
64,53,2017,1,327.00
65,62,2019,1,160.00
66,62,2019,2,160.00
67,62,2017,1,199.00
68,62,2017,2,180.00
69,41,2018,1,367.00
70,41,2018,2,264.00
71,41,2017,1,281.00
72,41,2017,2,260.00
73,44,2018,2,301.00
74,44,2018,1,209.00
75,44,2017,2,222.00
76,44,2017,1,202.00
