,province_id,year,types,score
0,14,2019,2,406.00
1,14,2019,1,351.00
2,14,2018,2,376.00
3,14,2018,1,347.00
4,14,2017,2,333.00
5,14,2017,1,306.00
6,15,2019,1,314.00
7,15,2018,1,237.00
8,21,2019,1,362.00
9,21,2018,1,339.00
10,21,2017,1,303.00
11,23,2019,2,327.00
12,23,2019,1,295.00
13,23,2018,2,307.00
14,23,2018,1,261.00
15,23,2017,2,220.00
16,23,2017,1,188.00
17,34,2019,2,410.00
18,34,2019,1,311.00
19,36,2019,1,318.00
20,37,2019,2,418.00
21,37,2019,1,396.00
22,37,2018,2,333.00
23,37,2018,1,303.00
24,37,2017,1,280.00
25,37,2017,2,254.00
26,43,2019,1,292.00
27,43,2018,1,200.00
28,51,2019,2,331.00
29,51,2019,1,150.00
30,51,2018,2,318.00
31,51,2018,1,293.00
32,51,2017,2,190.00
33,51,2017,1,180.00
34,52,2019,2,314.00
35,52,2019,1,256.00
36,53,2019,2,310.00
37,53,2019,1,293.00
38,53,2018,1,351.00
39,61,2019,2,259.00
40,61,2019,1,151.00
41,61,2018,2,274.00
42,61,2018,1,160.00
43,61,2017,1,218.00
44,61,2017,2,160.00
45,62,2019,2,399.00
46,62,2019,1,366.00
47,62,2017,1,331.00
48,62,2017,2,331.00
49,63,2019,1,317.00
50,63,2018,1,282.00
51,63,2017,2,263.00
52,63,2017,1,220.00
53,64,2019,2,389.00
54,64,2019,1,318.00
55,64,2018,2,362.00
56,64,2018,1,307.00
57,64,2017,1,269.00
58,64,2017,2,262.00
59,41,2018,2,358.00
60,41,2018,1,353.00
61,41,2017,1,292.00
62,41,2017,2,272.00
