,province_id,year,types,score
0,33,2019,3,496.00
1,33,2018,3,490.00
2,33,2017,3,481.00
3,51,2019,1,452.00
4,51,2019,2,377.00
5,51,2018,2,426.00
6,51,2017,2,303.00
7,52,2019,2,402.00
8,52,2019,1,335.00
9,52,2018,2,453.00
10,52,2018,1,288.00
11,52,2017,2,435.00
12,52,2017,1,254.00
13,62,2019,2,345.00
14,62,2019,1,276.00
15,62,2017,2,180.00
16,62,2017,1,180.00
17,65,2019,2,362.00
18,65,2019,1,319.00
19,65,2018,2,317.00
20,65,2018,1,284.00
21,65,2017,2,281.00
22,65,2017,1,247.00
23,41,2017,2,359.00
24,41,2017,1,277.00
