,province_id,year,types,score
0,12,2019,2,429.00
1,12,2019,1,402.00
2,12,2018,2,436.00
3,12,2018,1,416.00
4,13,2019,2,499.00
5,13,2019,1,454.00
6,13,2018,2,482.00
7,13,2018,1,439.00
8,13,2017,2,431.00
9,13,2017,1,412.00
10,14,2019,2,460.00
11,14,2019,1,395.00
12,14,2018,2,445.00
13,14,2018,1,387.00
14,14,2017,2,414.00
15,14,2017,1,336.00
16,15,2019,2,448.00
17,15,2019,1,352.00
18,15,2018,2,404.00
19,15,2018,1,340.00
20,23,2019,2,414.00
21,23,2019,1,390.00
22,23,2018,2,382.00
23,23,2018,1,364.00
24,23,2017,2,376.00
25,23,2017,1,337.00
26,33,2019,3,552.00
27,33,2018,3,528.00
28,33,2017,3,551.00
29,34,2019,2,520.00
30,34,2019,1,461.00
31,34,2018,2,505.00
32,34,2018,1,460.00
33,34,2017,2,455.00
34,34,2017,1,435.00
35,35,2019,2,484.00
36,35,2019,1,424.00
37,35,2018,2,468.00
38,35,2018,1,408.00
39,35,2017,2,395.00
40,35,2017,1,352.00
41,37,2019,2,520.00
42,37,2019,1,466.00
43,37,2018,2,520.00
44,37,2018,1,457.00
45,37,2017,2,486.00
46,37,2017,1,449.00
47,41,2019,2,491.00
48,41,2019,1,449.00
49,41,2018,2,489.00
50,41,2018,1,434.00
51,41,2017,2,442.00
52,41,2017,1,404.00
53,42,2019,2,500.00
54,42,2019,1,440.00
55,42,2018,2,510.00
56,42,2018,1,429.00
57,42,2017,2,446.00
58,42,2017,1,394.00
59,43,2019,2,528.00
60,43,2019,1,466.00
61,43,2018,2,530.00
62,43,2018,1,463.00
63,43,2017,2,485.00
64,43,2017,1,429.00
65,44,2019,2,506.00
66,44,2019,1,434.00
67,44,2018,2,496.00
68,44,2018,1,419.00
69,44,2017,2,443.00
70,44,2017,1,388.00
71,45,2019,2,439.00
72,45,2019,1,409.00
73,45,2018,2,450.00
74,45,2018,1,390.00
75,45,2017,2,418.00
76,45,2017,1,338.00
77,46,2019,2,577.00
78,46,2019,1,516.00
79,46,2018,2,561.00
80,46,2018,1,529.00
81,46,2017,2,560.00
82,46,2017,1,523.00
83,50,2019,1,486.00
84,50,2019,2,473.00
85,50,2018,2,491.00
86,50,2018,1,480.00
87,50,2017,2,479.00
88,50,2017,1,441.00
89,51,2019,2,491.00
90,51,2019,1,484.00
91,51,2018,2,508.00
92,51,2018,1,479.00
93,51,2017,2,487.00
94,51,2017,1,456.00
95,52,2019,2,489.00
96,52,2019,1,391.00
97,52,2018,2,517.00
98,52,2018,1,431.00
99,52,2017,2,494.00
100,52,2017,1,395.00
101,53,2019,2,509.00
102,53,2019,1,478.00
103,53,2018,2,524.00
104,53,2018,1,471.00
105,53,2017,2,495.00
106,53,2017,1,442.00
107,61,2019,2,484.00
108,61,2019,1,435.00
109,61,2018,2,460.00
110,61,2018,1,413.00
111,61,2017,2,442.00
112,61,2017,1,382.00
113,62,2019,2,465.00
114,62,2019,1,421.00
115,62,2018,2,445.00
116,62,2018,1,421.00
117,62,2017,2,441.00
118,62,2017,1,390.00
119,63,2019,2,426.00
120,63,2019,1,365.00
121,63,2018,2,406.00
122,63,2018,1,350.00
123,64,2019,2,485.00
124,64,2019,1,415.00
125,64,2018,2,423.00
126,64,2018,1,406.00
127,64,2017,2,470.00
128,64,2017,1,384.00
129,65,2019,2,439.00
130,65,2019,1,396.00
131,65,2018,2,425.00
132,65,2018,1,405.00
133,65,2017,2,409.00
134,65,2017,1,375.00
135,36,2018,2,520.00
136,36,2018,1,474.00
137,36,2017,2,468.00
138,36,2017,1,443.00
