,province_id,year,types,score
0,11,2019,1,528.00
1,11,2018,1,522.00
2,11,2017,1,520.00
3,12,2019,1,552.00
4,12,2018,1,557.00
5,12,2017,1,533.00
6,13,2019,2,595.00
7,13,2019,1,582.00
8,13,2018,2,614.00
9,13,2018,1,593.00
10,13,2017,2,570.00
11,13,2017,1,558.00
12,14,2019,2,550.00
13,14,2019,1,529.00
14,14,2018,2,554.00
15,14,2018,1,537.00
16,14,2017,2,524.00
17,14,2017,1,498.00
18,15,2019,1,568.00
19,15,2018,1,518.00
20,15,2017,1,482.00
21,21,2019,1,574.00
22,21,2018,1,583.00
23,21,2017,1,543.00
24,22,2019,1,556.00
25,22,2018,1,550.00
26,22,2017,1,524.00
27,23,2019,1,571.00
28,23,2018,1,562.00
29,23,2017,1,538.00
30,32,2019,1,360.00
31,32,2018,1,349.00
32,32,2017,1,342.00
33,32,2017,2,338.00
34,33,2019,3,600.00
35,33,2018,3,595.00
36,33,2017,3,581.00
37,34,2019,2,582.00
38,34,2019,1,569.00
39,34,2018,2,590.00
40,34,2018,1,578.00
41,34,2017,2,553.00
42,34,2017,1,550.00
43,35,2019,2,566.00
44,35,2019,1,545.00
45,35,2018,2,566.00
46,35,2018,1,543.00
47,35,2017,2,515.00
48,35,2017,1,493.00
49,36,2019,2,577.00
50,36,2019,1,576.00
51,36,2018,2,592.00
52,36,2018,1,582.00
53,36,2017,2,555.00
54,36,2017,1,551.00
55,37,2019,1,578.00
56,37,2019,2,572.00
57,37,2018,1,588.00
58,37,2018,2,586.00
59,37,2017,1,581.00
60,37,2017,2,558.00
61,41,2019,1,574.00
62,41,2019,2,567.00
63,41,2018,2,583.00
64,41,2018,1,573.00
65,41,2017,1,553.00
66,41,2017,2,543.00
67,42,2019,2,570.00
68,42,2019,1,555.00
69,42,2018,2,593.00
70,42,2018,1,564.00
71,42,2017,2,563.00
72,42,2017,1,537.00
73,43,2019,2,591.00
74,43,2019,1,568.00
75,43,2018,2,611.00
76,43,2018,1,588.00
77,43,2017,2,581.00
78,43,2017,1,557.00
79,44,2019,2,551.00
80,44,2019,1,517.00
81,44,2018,2,556.00
82,44,2018,1,522.00
83,44,2017,2,525.00
84,44,2017,1,501.00
85,45,2019,1,560.00
86,45,2019,2,545.00
87,45,2018,2,564.00
88,45,2018,1,557.00
89,45,2017,2,551.00
90,45,2017,1,502.00
91,46,2019,1,653.00
92,46,2018,1,657.00
93,46,2017,1,648.00
94,50,2019,2,558.00
95,50,2019,1,543.00
96,50,2018,1,586.00
97,50,2018,2,525.00
98,50,2017,1,556.00
99,50,2017,2,545.00
100,51,2019,1,611.00
101,51,2019,2,567.00
102,51,2018,1,601.00
103,51,2018,2,573.00
104,51,2017,1,568.00
105,51,2017,2,558.00
106,52,2019,2,564.00
107,52,2019,1,517.00
108,52,2018,2,596.00
109,52,2018,1,537.00
110,52,2017,2,572.00
111,52,2017,1,499.00
112,53,2019,2,587.00
113,53,2019,1,569.00
114,53,2018,2,599.00
115,53,2018,1,564.00
116,53,2017,2,574.00
117,53,2017,1,528.00
118,61,2019,2,570.00
119,61,2019,1,554.00
120,61,2018,2,558.00
121,61,2018,1,550.00
122,61,2017,2,537.00
123,61,2017,1,517.00
124,62,2019,2,547.00
125,62,2019,1,532.00
126,62,2018,1,540.00
127,62,2018,2,526.00
128,62,2017,2,522.00
129,62,2017,1,509.00
130,63,2019,1,473.00
131,63,2018,1,440.00
132,63,2017,1,430.00
133,64,2019,1,508.00
134,64,2018,1,509.00
135,64,2017,1,474.00
136,65,2019,2,539.00
137,65,2019,1,510.00
138,65,2018,2,538.00
139,65,2018,1,533.00
140,65,2017,2,525.00
141,65,2017,1,488.00
142,31,2018,3,462.00
