,province_id,year,types,score
0,14,2019,2,408.00
1,14,2019,1,341.00
2,14,2018,2,338.00
3,14,2018,1,303.00
4,14,2017,2,315.00
5,14,2017,1,258.00
6,50,2019,1,360.00
7,50,2018,1,226.00
8,50,2017,1,187.00
9,50,2017,2,174.00
10,51,2019,2,357.00
11,51,2019,1,150.00
12,51,2018,2,377.00
13,51,2018,1,214.00
14,51,2017,2,362.00
15,51,2017,1,180.00
16,61,2019,2,376.00
17,61,2019,1,322.00
18,61,2018,2,375.00
19,61,2018,1,325.00
20,61,2017,2,342.00
21,61,2017,1,294.00
22,62,2019,2,399.00
23,62,2019,1,350.00
24,62,2017,2,370.00
25,62,2017,1,326.00
26,63,2019,2,402.00
27,63,2019,1,336.00
28,63,2018,2,351.00
29,63,2018,1,314.00
30,64,2019,2,417.00
31,64,2019,1,329.00
32,64,2018,2,395.00
33,64,2018,1,312.00
34,64,2017,2,379.00
35,64,2017,1,285.00
36,41,2018,1,232.00
37,41,2018,2,212.00
38,41,2017,2,345.00
