,province_id,year,types,score
0,15,2019,2,341.00
1,15,2019,1,180.00
2,43,2019,2,309.00
3,43,2019,1,250.00
4,43,2018,2,304.00
5,43,2018,1,231.00
6,43,2017,2,258.00
7,43,2017,1,219.00
8,44,2019,2,346.00
9,44,2019,1,244.00
10,44,2018,2,305.00
11,44,2018,1,251.00
12,44,2017,2,239.00
13,44,2017,1,207.00
14,45,2019,1,281.00
15,45,2018,2,265.00
16,45,2017,2,301.00
17,45,2017,1,289.00
18,46,2019,1,418.00
19,46,2019,2,369.00
20,46,2018,2,389.00
21,46,2018,1,346.00
22,46,2017,2,280.00
23,46,2017,1,280.00
24,51,2019,1,150.00
25,51,2019,2,150.00
26,51,2018,2,190.00
27,51,2018,1,180.00
28,51,2017,2,190.00
29,51,2017,1,180.00
30,52,2019,2,223.00
31,52,2019,1,213.00
32,52,2018,1,257.00
33,52,2018,2,217.00
34,52,2017,2,229.00
35,52,2017,1,204.00
36,53,2019,2,320.00
37,53,2019,1,284.00
38,53,2018,1,295.00
39,53,2018,2,250.00
40,53,2017,2,249.00
41,53,2017,1,228.00
42,63,2019,1,255.00
43,63,2019,2,251.00
44,42,2017,2,200.00
45,42,2017,1,200.00
46,62,2017,1,180.00
47,62,2017,2,180.00
