,province_id,year,types,score
0,11,2019,1,470.07
1,11,2018,1,467.00
2,11,2017,1,485.00
3,12,2019,1,460.11
4,12,2018,1,470.00
5,12,2017,1,451.00
6,13,2019,2,519.10
7,13,2019,1,480.11
8,13,2018,2,499.00
9,13,2018,1,464.00
10,13,2017,2,453.00
11,13,2017,1,438.00
12,14,2019,2,493.11
13,14,2019,1,474.10
14,14,2018,2,522.00
15,14,2018,1,481.00
16,14,2017,1,445.00
17,15,2019,1,407.00
18,15,2018,1,385.00
19,15,2017,1,369.00
20,21,2019,1,475.09
21,21,2018,1,472.00
22,21,2017,1,428.00
23,22,2019,1,445.09
24,22,2018,1,411.00
25,22,2017,1,384.00
26,23,2019,1,240.00
27,23,2018,1,215.00
28,23,2017,1,316.00
29,32,2019,1,324.00
30,32,2018,1,226.00
31,32,2017,1,228.00
32,33,2019,3,551.00
33,33,2018,3,545.00
34,33,2017,3,530.00
35,34,2019,1,477.93
36,34,2018,1,475.00
37,34,2017,1,478.00
38,35,2019,1,430.93
39,35,2018,1,436.00
40,35,2017,1,367.00
41,36,2019,1,505.95
42,36,2018,1,505.00
43,36,2017,1,474.00
44,37,2019,2,522.12
45,37,2019,1,484.10
46,37,2018,2,518.00
47,37,2018,1,477.00
48,37,2017,1,480.00
49,41,2019,1,496.11
50,41,2018,1,487.00
51,41,2017,1,469.00
52,42,2019,1,452.11
53,42,2018,1,459.00
54,42,2017,1,432.00
55,43,2019,1,456.01
56,43,2018,1,467.00
57,43,2017,1,445.00
58,45,2019,1,444.93
59,45,2018,1,418.00
60,45,2017,2,380.00
61,46,2019,1,566.12
62,46,2018,1,572.00
63,46,2017,1,567.00
64,50,2019,1,485.19
65,50,2018,1,452.00
66,50,2017,1,446.00
67,51,2019,1,516.11
68,51,2018,2,514.00
69,51,2018,1,498.00
70,51,2017,1,477.00
71,52,2019,1,431.09
72,52,2018,1,409.00
73,52,2017,1,412.00
74,53,2019,1,452.74
75,53,2018,1,487.00
76,53,2017,1,463.00
77,61,2019,1,462.10
78,61,2018,1,452.00
79,61,2017,1,422.00
80,62,2019,1,458.11
81,62,2018,1,462.00
82,62,2017,1,437.00
83,65,2019,2,370.08
84,65,2019,1,311.00
85,65,2018,1,287.00
86,65,2017,1,288.00
