,province_id,year,types,score
0,14,2019,2,405.00
1,14,2019,1,352.00
2,41,2019,2,453.00
3,41,2019,1,406.00
4,41,2018,2,441.00
5,41,2018,1,389.00
6,41,2017,2,391.00
7,41,2017,1,365.00
8,44,2019,2,475.00
9,44,2019,1,402.00
10,44,2018,2,459.00
11,44,2018,1,381.00
12,44,2017,2,420.00
13,44,2017,1,369.00
14,45,2019,2,391.00
15,45,2019,1,352.00
16,45,2018,2,346.00
17,45,2017,2,419.00
18,45,2017,1,383.00
19,51,2019,2,478.00
20,51,2019,1,466.00
21,51,2018,2,497.00
22,51,2018,1,463.00
23,51,2017,2,470.00
24,51,2017,1,437.00
25,52,2019,2,453.00
26,52,2019,1,369.00
27,52,2018,2,479.00
28,52,2018,1,381.00
29,52,2017,2,453.00
30,52,2017,1,375.00
31,53,2019,2,463.00
32,53,2019,1,413.00
33,53,2018,1,398.00
34,23,2018,2,337.00
35,23,2018,1,325.00
36,35,2018,2,446.00
37,35,2018,1,384.00
38,35,2017,2,381.00
39,35,2017,1,345.00
40,43,2018,2,506.00
41,43,2018,1,420.00
42,46,2018,2,541.00
43,46,2018,1,496.00
44,46,2017,1,508.00
45,46,2017,2,487.00
