,province_id,year,types,score
0,11,2019,1,490.00
1,11,2018,1,432.00
2,11,2017,1,507.00
3,12,2019,2,498.00
4,12,2019,1,492.00
5,12,2018,2,517.00
6,12,2018,1,498.00
7,12,2017,2,487.00
8,12,2017,1,471.00
9,13,2019,1,563.00
10,13,2019,2,556.00
11,13,2018,1,578.00
12,13,2018,2,565.00
13,13,2017,1,543.00
14,13,2017,2,520.00
15,14,2019,2,534.00
16,14,2019,1,492.00
17,14,2018,2,534.00
18,14,2018,1,509.00
19,14,2017,2,504.00
20,14,2017,1,471.00
21,15,2019,2,507.00
22,15,2019,1,428.00
23,15,2018,2,508.00
24,15,2018,1,445.00
25,15,2017,2,476.00
26,15,2017,1,436.00
27,21,2019,1,546.00
28,21,2018,1,538.00
29,21,2017,1,477.00
30,22,2019,1,530.00
31,22,2019,2,517.00
32,22,2018,1,524.00
33,22,2018,2,489.00
34,22,2017,2,447.00
35,22,2017,1,385.00
36,23,2019,2,493.00
37,23,2019,1,480.00
38,23,2018,1,484.00
39,23,2018,2,473.00
40,23,2017,2,466.00
41,23,2017,1,457.00
42,32,2019,1,349.00
43,32,2018,1,339.00
44,32,2017,1,333.00
45,33,2019,3,595.00
46,33,2018,3,588.00
47,33,2017,3,577.00
48,34,2019,2,554.00
49,34,2019,1,503.00
50,34,2018,2,555.00
51,34,2018,1,512.00
52,34,2017,2,514.00
53,34,2017,1,490.00
54,35,2019,1,469.00
55,35,2018,1,467.00
56,35,2017,1,411.00
57,36,2019,2,555.00
58,36,2019,1,543.00
59,36,2018,2,564.00
60,36,2018,1,546.00
61,36,2017,2,526.00
62,36,2017,1,513.00
63,37,2019,2,539.00
64,37,2019,1,510.00
65,37,2018,2,547.00
66,37,2018,1,511.00
67,37,2017,2,520.00
68,37,2017,1,497.00
69,41,2019,2,555.00
70,41,2019,1,554.00
71,41,2018,2,569.00
72,41,2018,1,551.00
73,41,2017,2,522.00
74,41,2017,1,517.00
75,42,2019,2,534.00
76,42,2019,1,499.00
77,42,2018,2,550.00
78,42,2018,1,506.00
79,42,2017,2,512.00
80,42,2017,1,476.00
81,43,2019,2,553.00
82,43,2019,1,499.00
83,43,2018,2,565.00
84,43,2018,1,512.00
85,43,2017,2,525.00
86,43,2017,1,493.00
87,44,2019,1,485.00
88,44,2018,1,480.00
89,44,2017,1,455.00
90,45,2019,2,505.00
91,45,2019,1,472.00
92,45,2018,2,528.00
93,45,2018,1,491.00
94,45,2017,2,504.00
95,45,2017,1,446.00
96,46,2019,2,657.00
97,46,2019,1,541.00
98,46,2018,2,648.00
99,46,2018,1,597.00
100,46,2017,2,635.00
101,46,2017,1,593.00
102,50,2019,1,536.00
103,50,2018,1,536.00
104,50,2017,1,502.00
105,51,2019,1,568.00
106,51,2019,2,539.00
107,51,2018,1,565.00
108,51,2018,2,554.00
109,51,2017,2,530.00
110,51,2017,1,524.00
111,52,2019,1,462.00
112,52,2018,1,476.00
113,52,2017,1,446.00
114,53,2019,1,523.00
115,53,2018,1,517.00
116,53,2017,1,483.00
117,61,2019,2,514.00
118,61,2019,1,471.00
119,61,2018,2,510.00
120,61,2018,1,474.00
121,61,2017,2,495.00
122,61,2017,1,446.00
123,62,2019,2,521.00
124,62,2019,1,478.00
125,62,2018,2,497.00
126,62,2018,1,486.00
127,62,2017,2,498.00
128,62,2017,1,449.00
129,64,2019,2,535.00
130,64,2019,1,457.00
131,64,2018,2,523.00
132,64,2018,1,473.00
133,64,2017,2,508.00
134,64,2017,1,446.00
135,31,2018,3,445.00
