,province_id,year,types,score
0,14,2019,2,219.00
1,14,2019,1,130.00
2,14,2018,1,150.00
3,14,2018,2,150.00
4,14,2017,2,130.00
5,14,2017,1,130.00
6,34,2019,2,259.00
7,34,2018,2,267.00
8,34,2018,1,258.00
9,34,2017,1,259.00
10,34,2017,2,224.00
11,37,2019,2,340.00
12,37,2019,1,333.00
13,37,2018,2,263.00
14,37,2018,1,234.00
15,37,2017,2,263.00
16,37,2017,1,219.00
17,41,2018,2,240.00
18,41,2018,1,200.00
19,41,2017,2,220.00
20,41,2017,1,196.00
21,42,2018,1,200.00
22,42,2018,2,200.00
23,13,2017,1,243.00
24,13,2017,2,200.00
25,62,2017,2,180.00
26,62,2017,1,180.00
27,65,2017,1,323.00
28,65,2017,2,314.00
