,province_id,year,types,score
0,14,2019,1,130.00
1,14,2018,1,230.00
2,14,2017,1,242.00
3,34,2019,1,298.00
4,34,2018,1,292.00
5,34,2017,1,298.00
6,37,2019,1,415.00
7,37,2018,1,393.00
8,37,2017,1,377.00
9,43,2019,1,400.00
10,43,2018,1,382.00
11,43,2017,1,342.00
12,44,2019,2,434.00
13,44,2019,1,371.00
14,44,2018,2,424.00
15,44,2018,1,342.00
16,44,2017,2,395.00
17,44,2017,1,337.00
18,45,2019,1,338.00
19,45,2018,2,316.00
20,45,2017,1,288.00
21,51,2019,1,409.00
22,51,2018,1,420.00
23,51,2017,1,301.00
24,52,2019,1,322.00
25,52,2018,1,342.00
26,52,2017,1,321.00
27,53,2019,1,408.00
28,53,2018,1,395.00
29,53,2017,1,385.00
30,62,2019,1,272.00
31,62,2017,1,313.00
32,65,2019,1,268.00
33,41,2018,1,296.00
34,41,2017,1,253.00
