,province_id,year,types,score
0,14,2019,1,130.00
1,14,2019,2,130.00
2,14,2018,1,150.00
3,14,2017,1,130.00
4,34,2019,2,267.00
5,34,2019,1,249.00
6,34,2018,1,370.00
7,34,2018,2,269.00
8,34,2017,1,214.00
9,35,2019,1,332.00
10,35,2019,2,304.00
11,43,2019,2,459.00
12,43,2019,1,399.00
13,43,2018,2,414.00
14,43,2018,1,395.00
15,43,2017,2,377.00
16,43,2017,1,364.00
17,44,2019,2,433.00
18,44,2019,1,347.00
19,44,2018,2,423.00
20,44,2018,1,328.00
21,44,2017,2,375.00
22,44,2017,1,314.00
23,45,2019,2,356.00
24,45,2019,1,292.00
25,45,2018,2,363.00
26,45,2018,1,323.00
27,45,2017,2,346.00
28,45,2017,1,273.00
29,46,2019,1,484.00
30,46,2019,2,469.00
31,46,2018,1,481.00
32,46,2018,2,435.00
33,46,2017,1,500.00
34,46,2017,2,412.00
35,52,2019,2,288.00
36,52,2019,1,193.00
37,52,2018,2,414.00
38,52,2018,1,219.00
39,52,2017,2,306.00
40,52,2017,1,205.00
41,62,2019,1,160.00
42,62,2019,2,160.00
43,62,2017,2,180.00
44,62,2017,1,180.00
45,65,2019,1,219.00
46,41,2018,2,239.00
47,41,2018,1,224.00
48,41,2017,2,190.00
49,41,2017,1,184.00
50,53,2017,1,303.00
