,province_id,year,types,score
0,11,2019,1,492.00
1,11,2018,1,496.00
2,11,2017,1,500.00
3,12,2019,2,493.00
4,12,2019,1,480.00
5,12,2018,2,514.00
6,12,2018,1,492.00
7,12,2017,1,512.00
8,12,2017,2,488.00
9,13,2019,1,583.00
10,13,2019,2,580.00
11,13,2018,2,591.00
12,13,2018,1,577.00
13,13,2017,2,543.00
14,13,2017,1,540.00
15,14,2019,2,542.00
16,14,2019,1,521.00
17,14,2018,2,547.00
18,14,2018,1,516.00
19,14,2017,2,518.00
20,14,2017,1,482.00
21,15,2019,1,544.00
22,15,2019,33,468.00
23,15,2019,32,452.00
24,15,2018,1,547.00
25,15,2017,1,536.00
26,21,2019,2,561.00
27,21,2019,1,509.00
28,21,2018,2,550.00
29,21,2018,1,489.00
30,21,2017,2,537.00
31,21,2017,1,516.00
32,22,2019,1,544.00
33,22,2018,1,550.00
34,22,2017,1,536.00
35,23,2019,1,544.00
36,23,2018,1,536.00
37,23,2017,1,513.00
38,23,2017,2,409.00
39,31,2019,3,421.00
40,31,2018,3,427.00
41,32,2019,1,347.00
42,32,2019,2,339.00
43,32,2018,1,337.00
44,32,2018,2,337.00
45,32,2017,2,333.00
46,32,2017,1,331.00
47,33,2019,3,574.00
48,33,2018,3,590.00
49,33,2017,3,577.00
50,34,2019,1,560.00
51,34,2018,1,553.00
52,34,2017,1,537.00
53,35,2019,1,504.00
54,35,2018,1,502.00
55,35,2017,1,441.00
56,36,2019,1,550.00
57,36,2018,1,549.00
58,36,2017,1,516.00
59,37,2019,2,545.00
60,37,2019,1,538.00
61,37,2018,1,558.00
62,37,2018,2,547.00
63,37,2017,1,553.00
64,37,2017,2,516.00
65,41,2019,2,554.00
66,41,2019,1,548.00
67,41,2018,2,567.00
68,41,2018,1,549.00
69,41,2017,2,529.00
70,41,2017,1,524.00
71,42,2019,1,536.00
72,42,2018,1,547.00
73,42,2017,1,516.00
74,43,2019,1,541.00
75,43,2018,1,552.00
76,43,2017,1,521.00
77,44,2019,2,534.00
78,44,2019,1,474.00
79,44,2018,2,520.00
80,44,2018,1,454.00
81,44,2017,1,485.00
82,45,2019,1,477.00
83,45,2018,2,482.00
84,45,2017,1,432.00
85,46,2019,1,629.00
86,46,2018,1,621.00
87,46,2017,1,567.00
88,50,2019,1,536.00
89,50,2018,1,535.00
90,50,2017,1,505.00
91,51,2019,1,589.00
92,51,2019,2,549.00
93,51,2018,1,572.00
94,51,2018,2,561.00
95,51,2017,2,545.00
96,51,2017,1,531.00
97,52,2019,2,555.00
98,52,2019,1,512.00
99,52,2018,2,588.00
100,52,2018,1,501.00
101,52,2017,2,564.00
102,52,2017,1,468.00
103,53,2019,1,561.00
104,53,2018,1,537.00
105,53,2017,1,502.00
106,61,2019,1,519.00
107,61,2018,1,513.00
108,61,2017,1,472.00
109,62,2019,2,519.00
110,62,2019,1,517.00
111,62,2018,1,524.00
112,62,2018,2,491.00
113,62,2017,1,492.00
114,62,2017,2,490.00
115,63,2019,1,450.00
116,63,2018,1,443.00
117,63,2017,1,391.00
118,64,2019,2,546.00
119,64,2019,1,469.00
120,64,2018,2,534.00
121,64,2018,1,470.00
122,64,2017,2,520.00
123,64,2017,1,439.00
124,65,2019,1,478.00
125,65,2018,1,504.00
126,65,2017,1,473.00
