,province_id,year,types,score
0,14,2019,2,442.00
1,14,2019,1,362.00
2,14,2018,2,405.00
3,14,2018,1,349.00
4,14,2017,2,394.00
5,14,2017,1,311.00
6,32,2019,1,311.00
7,32,2019,2,296.00
8,32,2018,2,292.00
9,32,2018,1,292.00
10,32,2017,2,291.00
11,32,2017,1,275.00
12,33,2019,3,532.00
13,33,2018,3,519.00
14,33,2017,3,495.00
15,34,2019,2,524.00
16,34,2019,1,446.00
17,34,2018,2,511.00
18,34,2018,1,451.00
19,34,2017,2,467.00
20,34,2017,1,429.00
21,35,2019,2,486.00
22,35,2019,1,407.00
23,35,2018,2,466.00
24,35,2018,1,386.00
25,35,2017,2,411.00
26,35,2017,1,344.00
27,36,2019,2,523.00
28,36,2019,1,470.00
29,36,2018,2,521.00
30,36,2018,1,467.00
31,36,2017,2,473.00
32,36,2017,1,436.00
33,41,2019,2,472.00
34,41,2019,1,414.00
35,41,2018,2,457.00
36,41,2018,1,392.00
37,41,2017,2,415.00
38,41,2017,1,375.00
39,42,2019,2,487.00
40,42,2019,1,414.00
41,42,2018,2,493.00
42,42,2018,1,405.00
43,42,2017,2,440.00
44,42,2017,1,380.00
45,43,2019,1,428.00
46,43,2018,1,428.00
47,43,2017,1,401.00
48,45,2019,2,391.00
49,45,2019,1,348.00
50,45,2018,2,407.00
51,45,2018,1,347.00
52,45,2017,2,388.00
53,45,2017,1,320.00
54,50,2019,1,448.00
55,50,2018,1,432.00
56,50,2017,1,398.00
57,51,2019,2,486.00
58,51,2019,1,465.00
59,51,2018,2,503.00
60,51,2018,1,460.00
61,51,2017,2,470.00
62,51,2017,1,436.00
63,52,2019,2,454.00
64,52,2019,1,374.00
65,52,2018,2,477.00
66,52,2018,1,380.00
67,52,2017,2,453.00
68,52,2017,1,362.00
69,53,2019,2,481.00
70,53,2019,1,420.00
71,53,2018,2,471.00
72,53,2018,1,392.00
73,62,2019,2,429.00
74,62,2019,1,379.00
75,62,2018,2,394.00
76,62,2018,1,374.00
77,62,2017,2,387.00
78,62,2017,1,352.00
