,province_id,year,types,score
0,14,2019,1,314.00
1,14,2019,2,130.00
2,15,2019,2,421.00
3,15,2019,1,320.00
4,22,2019,2,375.00
5,22,2019,1,341.00
6,33,2019,3,508.00
7,33,2018,3,490.00
8,33,2017,3,489.00
9,34,2019,2,504.00
10,34,2019,1,420.00
11,34,2018,2,485.00
12,34,2018,1,428.00
13,34,2017,2,437.00
14,34,2017,1,410.00
15,35,2019,2,408.00
16,35,2019,1,340.00
17,36,2019,2,253.00
18,36,2019,1,160.00
19,36,2018,2,365.00
20,36,2018,1,337.00
21,36,2017,2,344.00
22,36,2017,1,307.00
23,43,2019,2,481.00
24,43,2019,1,403.00
25,43,2018,2,466.00
26,43,2018,1,391.00
27,43,2017,2,416.00
28,43,2017,1,357.00
29,51,2019,2,458.00
30,51,2019,1,429.00
31,51,2018,2,474.00
32,51,2018,1,405.00
33,51,2017,2,341.00
34,51,2017,1,180.00
35,52,2019,2,447.00
36,52,2019,1,361.00
37,52,2018,2,466.00
38,52,2018,1,366.00
39,52,2017,2,438.00
40,52,2017,1,336.00
41,61,2019,2,417.00
42,61,2019,1,299.00
43,61,2018,2,416.00
44,61,2018,1,252.00
45,41,2018,2,398.00
46,41,2018,1,299.00
47,41,2017,2,338.00
48,41,2017,1,238.00
49,32,2017,1,233.00
50,32,2017,2,209.00
51,42,2017,1,258.00
52,42,2017,2,200.00
53,62,2017,2,311.00
54,62,2017,1,180.00
