,province_id,year,types,score
0,13,2019,2,372.00
1,13,2019,1,343.00
2,13,2018,2,326.00
3,13,2018,1,284.00
4,13,2017,2,236.00
5,13,2017,1,215.00
6,14,2019,1,130.00
7,14,2019,2,130.00
8,14,2018,1,150.00
9,14,2018,2,150.00
10,14,2017,2,240.00
11,14,2017,1,233.00
12,15,2019,2,319.00
13,15,2019,1,194.00
14,21,2019,2,363.00
15,21,2019,1,305.00
16,21,2018,2,341.00
17,21,2018,1,278.00
18,21,2017,2,350.00
19,21,2017,1,221.00
20,22,2019,1,167.00
21,51,2019,1,150.00
22,51,2019,2,150.00
23,51,2018,2,190.00
24,51,2018,1,180.00
25,52,2019,1,264.00
26,52,2018,2,375.00
27,53,2019,2,298.00
28,53,2019,1,282.00
29,53,2018,2,355.00
30,53,2018,1,271.00
31,53,2017,1,353.00
32,53,2017,2,351.00
33,63,2019,2,241.00
34,63,2019,1,211.00
35,50,2018,2,272.00
36,62,2017,1,180.00
37,62,2017,2,180.00
