,province_id,year,types,score
0,13,2019,2,316.00
1,13,2019,1,263.00
2,13,2018,2,295.00
3,13,2018,1,200.00
4,13,2017,1,234.00
5,13,2017,2,200.00
6,15,2019,2,272.00
7,15,2019,1,220.00
8,15,2018,2,264.00
9,15,2018,1,187.00
10,33,2019,3,440.00
11,33,2018,3,497.00
12,33,2017,3,481.00
13,34,2019,1,396.00
14,34,2019,2,241.00
15,34,2018,1,211.00
16,34,2018,2,205.00
17,34,2017,1,212.00
18,34,2017,2,203.00
19,42,2019,1,264.00
20,42,2019,2,257.00
21,42,2018,1,200.00
22,42,2018,2,200.00
23,42,2017,1,200.00
24,42,2017,2,200.00
25,46,2019,1,434.00
26,46,2019,2,404.00
27,46,2018,1,423.00
28,46,2018,2,388.00
29,46,2017,1,398.00
30,46,2017,2,389.00
31,51,2019,1,150.00
32,51,2019,2,150.00
33,51,2018,2,340.00
34,51,2018,1,255.00
35,51,2017,2,323.00
36,51,2017,1,180.00
37,53,2019,2,382.00
38,53,2019,1,284.00
39,53,2018,2,426.00
40,53,2018,1,245.00
41,53,2017,2,386.00
42,53,2017,1,302.00
43,61,2019,1,360.00
44,61,2019,2,332.00
45,61,2018,1,411.00
46,61,2018,2,328.00
47,63,2019,2,297.00
48,63,2019,1,262.00
49,63,2018,2,291.00
50,63,2018,1,206.00
51,64,2019,1,334.00
52,64,2019,2,296.00
53,64,2018,2,281.00
54,64,2018,1,234.00
55,64,2017,2,309.00
56,65,2019,2,313.00
57,65,2019,1,254.00
58,65,2018,2,257.00
59,65,2018,1,233.00
60,65,2017,2,235.00
61,65,2017,1,206.00
62,41,2018,2,292.00
63,41,2018,1,210.00
64,41,2017,2,201.00
65,41,2017,1,184.00
66,14,2017,2,130.00
