,province_id,year,types,score
0,14,2019,1,130.00
1,14,2019,2,130.00
2,14,2018,2,237.00
3,14,2018,1,150.00
4,14,2017,1,130.00
5,14,2017,2,130.00
6,21,2019,2,438.00
7,21,2019,1,363.00
8,21,2018,2,408.00
9,21,2018,1,346.00
10,21,2017,2,370.00
11,21,2017,1,311.00
12,34,2019,2,384.00
13,34,2019,1,284.00
14,34,2018,2,348.00
15,34,2018,1,338.00
16,34,2017,2,343.00
17,34,2017,1,340.00
18,35,2019,2,318.00
19,35,2019,1,275.00
20,36,2019,1,362.00
21,36,2019,2,318.00
22,36,2018,1,349.00
23,36,2018,2,160.00
24,36,2017,1,348.00
25,36,2017,2,301.00
26,37,2019,2,415.00
27,37,2019,1,379.00
28,37,2018,2,376.00
29,37,2018,1,332.00
30,37,2017,2,338.00
31,37,2017,1,276.00
32,43,2019,2,401.00
33,43,2019,1,354.00
34,43,2018,2,409.00
35,43,2018,1,348.00
36,43,2017,2,367.00
37,43,2017,1,313.00
38,44,2019,2,393.00
39,44,2019,1,252.00
40,44,2018,2,388.00
41,44,2018,1,249.00
42,44,2017,2,287.00
43,44,2017,1,243.00
44,45,2019,2,336.00
45,45,2019,1,183.00
46,45,2018,2,289.00
47,45,2018,1,289.00
48,45,2017,2,278.00
49,45,2017,1,263.00
50,46,2019,2,447.00
51,46,2019,1,366.00
52,46,2018,2,482.00
53,46,2018,1,295.00
54,46,2017,1,350.00
55,46,2017,2,280.00
56,51,2019,1,150.00
57,51,2019,2,150.00
58,51,2018,2,190.00
59,51,2018,1,180.00
60,51,2017,2,190.00
61,51,2017,1,180.00
62,52,2019,2,318.00
63,52,2019,1,247.00
64,52,2018,2,302.00
65,52,2018,1,241.00
66,52,2017,2,396.00
67,52,2017,1,230.00
68,53,2019,2,388.00
69,53,2019,1,256.00
70,53,2018,2,394.00
71,53,2018,1,294.00
72,53,2017,2,339.00
73,53,2017,1,300.00
74,61,2019,1,291.00
75,61,2018,1,278.00
76,63,2019,1,238.00
77,65,2019,2,306.00
78,65,2019,1,296.00
79,65,2018,2,266.00
80,65,2018,1,218.00
81,65,2017,2,308.00
82,65,2017,1,264.00
83,41,2018,2,279.00
84,41,2018,1,208.00
85,41,2017,2,200.00
86,41,2017,1,182.00
87,50,2018,2,234.00
