,province_id,year,types,score
0,13,2019,2,553.00
1,13,2019,1,507.00
2,13,2018,2,558.00
3,13,2018,1,515.00
4,13,2017,2,477.00
5,13,2017,1,453.00
6,32,2019,1,340.00
7,32,2019,2,332.00
8,32,2018,1,325.00
9,32,2018,2,324.00
10,32,2017,2,304.00
11,32,2017,1,295.00
12,33,2019,3,595.00
13,33,2018,3,588.00
14,33,2017,3,577.00
15,34,2019,2,556.00
16,34,2019,1,498.00
17,34,2018,2,546.00
18,34,2018,1,501.00
19,34,2017,2,476.00
20,34,2017,1,451.00
21,35,2019,2,537.00
22,35,2019,1,483.00
23,35,2018,2,531.00
24,35,2018,1,471.00
25,35,2017,2,424.00
26,35,2017,1,378.00
27,41,2019,2,549.00
28,41,2019,1,529.00
29,41,2018,2,554.00
30,41,2018,1,510.00
31,41,2017,2,460.00
32,41,2017,1,434.00
33,42,2019,1,501.00
34,42,2018,2,550.00
35,42,2018,1,502.00
36,42,2017,2,491.00
37,42,2017,1,454.00
38,44,2019,2,541.00
39,44,2019,1,486.00
40,44,2018,2,526.00
41,44,2018,1,472.00
42,44,2017,2,468.00
43,44,2017,1,422.00
44,45,2019,2,507.00
45,45,2019,1,489.00
46,45,2018,2,516.00
47,45,2018,1,475.00
48,45,2017,2,423.00
49,45,2017,1,358.00
50,50,2019,1,511.00
51,50,2018,2,510.00
52,50,2018,1,498.00
53,50,2017,2,479.00
54,50,2017,1,432.00
55,51,2019,1,541.00
56,51,2019,2,537.00
57,51,2018,2,545.00
58,51,2018,1,534.00
59,51,2017,2,515.00
60,51,2017,1,484.00
61,52,2019,2,524.00
62,52,2019,1,448.00
63,52,2018,2,542.00
64,52,2018,1,449.00
65,52,2017,2,459.00
66,52,2017,1,375.00
67,65,2019,2,503.00
68,65,2019,1,443.00
69,65,2018,2,484.00
70,65,2018,1,457.00
71,65,2017,2,447.00
72,65,2017,1,398.00
73,14,2017,2,444.00
74,14,2017,1,395.00
75,62,2017,2,454.00
76,62,2017,1,405.00
