,province_id,year,types,score
0,13,2019,2,220.00
1,13,2019,1,200.00
2,13,2018,1,200.00
3,13,2018,2,200.00
4,13,2017,1,200.00
5,13,2017,2,200.00
6,14,2019,1,130.00
7,14,2019,2,130.00
8,14,2018,1,150.00
9,14,2018,2,150.00
10,14,2017,1,130.00
11,14,2017,2,130.00
12,15,2019,1,236.00
13,15,2019,2,163.00
14,15,2018,2,165.00
15,15,2018,1,160.00
16,15,2017,2,336.00
17,15,2017,1,265.00
18,21,2019,2,329.00
19,21,2019,1,292.00
20,21,2018,1,253.00
21,21,2018,2,235.00
22,21,2017,2,236.00
23,21,2017,1,204.00
24,22,2019,2,176.00
25,22,2019,1,169.00
26,22,2018,1,253.00
27,22,2018,2,235.00
28,22,2017,2,325.00
29,22,2017,1,186.00
30,23,2019,2,161.00
31,23,2019,1,161.00
32,23,2018,2,165.00
33,23,2018,1,160.00
34,23,2017,1,160.00
35,23,2017,2,160.00
36,35,2019,2,274.00
37,35,2018,2,362.00
38,35,2018,1,350.00
39,36,2019,2,160.00
40,36,2019,1,160.00
41,36,2018,1,160.00
42,36,2018,2,160.00
43,36,2017,1,180.00
44,36,2017,2,180.00
45,37,2019,2,302.00
46,37,2019,1,272.00
47,37,2018,1,275.00
48,37,2018,2,181.00
49,37,2017,1,239.00
50,37,2017,2,216.00
51,44,2019,2,220.00
52,44,2018,2,235.00
53,44,2017,1,245.00
54,45,2019,2,260.00
55,51,2019,1,150.00
56,51,2019,2,150.00
57,51,2018,2,190.00
58,51,2018,1,180.00
59,51,2017,2,190.00
60,51,2017,1,180.00
61,52,2019,2,348.00
62,52,2018,2,302.00
63,52,2017,2,314.00
64,52,2017,1,258.00
65,53,2019,2,333.00
66,53,2018,2,400.00
67,53,2017,1,269.00
68,41,2018,1,261.00
69,41,2018,2,216.00
