,province_id,year,types,score
0,11,2019,1,563.00
1,11,2019,2,520.00
2,11,2018,1,543.00
3,11,2017,1,534.00
4,11,2017,2,520.00
5,12,2019,1,584.00
6,12,2018,1,585.00
7,12,2018,2,551.00
8,12,2017,1,553.00
9,13,2019,2,596.00
10,13,2019,1,595.00
11,13,2018,2,613.00
12,13,2018,1,607.00
13,13,2017,1,570.00
14,13,2017,2,570.00
15,14,2019,1,546.00
16,14,2018,1,550.00
17,14,2017,1,519.00
18,15,2019,1,549.00
19,15,2018,1,569.00
20,15,2018,2,560.00
21,15,2017,1,492.00
22,21,2019,1,595.00
23,21,2018,1,603.00
24,21,2018,2,565.00
25,21,2017,1,563.00
26,22,2019,1,572.00
27,22,2019,2,562.00
28,22,2018,1,564.00
29,22,2018,2,554.00
30,22,2017,2,533.00
31,22,2017,1,524.00
32,23,2019,1,579.00
33,23,2018,1,576.00
34,23,2017,1,557.00
35,31,2019,3,455.00
36,31,2018,3,454.00
37,32,2019,1,365.00
38,32,2019,2,349.00
39,32,2018,1,353.00
40,32,2018,2,345.00
41,32,2017,1,344.00
42,32,2017,2,339.00
43,33,2019,3,594.00
44,33,2018,3,588.00
45,33,2017,3,577.00
46,34,2019,2,583.00
47,34,2019,1,568.00
48,34,2018,2,590.00
49,34,2018,1,578.00
50,34,2017,2,555.00
51,34,2017,1,550.00
52,35,2019,1,549.00
53,35,2018,1,552.00
54,35,2017,1,500.00
55,36,2019,1,585.00
56,36,2018,1,589.00
57,36,2018,2,576.00
58,36,2017,1,553.00
59,36,2017,2,536.00
60,37,2019,1,580.00
61,37,2019,2,571.00
62,37,2018,1,590.00
63,37,2017,1,586.00
64,37,2017,2,561.00
65,41,2019,1,580.00
66,41,2019,2,569.00
67,41,2018,1,584.00
68,41,2018,2,583.00
69,41,2017,1,558.00
70,41,2017,2,554.00
71,42,2019,2,577.00
72,42,2019,1,574.00
73,42,2018,2,603.00
74,42,2018,1,585.00
75,42,2017,2,570.00
76,42,2017,1,555.00
77,43,2019,2,590.00
78,43,2019,1,572.00
79,43,2018,2,610.00
80,43,2018,1,587.00
81,43,2017,2,576.00
82,43,2017,1,554.00
83,44,2019,1,533.00
84,44,2018,1,523.00
85,44,2017,1,485.00
86,45,2019,1,588.00
87,45,2019,2,545.00
88,45,2018,2,579.00
89,45,2018,1,579.00
90,45,2017,1,525.00
91,46,2019,1,660.00
92,46,2018,1,659.00
93,46,2017,1,651.00
94,50,2019,1,571.00
95,50,2019,2,562.00
96,50,2018,1,567.00
97,50,2018,2,537.00
98,50,2017,2,537.00
99,50,2017,1,506.00
100,51,2019,1,623.00
101,51,2019,2,578.00
102,51,2018,1,613.00
103,51,2018,2,583.00
104,51,2017,1,577.00
105,51,2017,2,574.00
106,52,2019,1,553.00
107,52,2018,1,563.00
108,52,2017,2,597.00
109,52,2017,1,527.00
110,53,2019,2,589.00
111,53,2019,1,555.00
112,53,2018,2,594.00
113,53,2018,1,584.00
114,53,2017,1,542.00
115,54,2019,1,562.00
116,54,2018,1,504.00
117,54,2017,1,479.00
118,61,2019,1,565.00
119,61,2019,2,557.00
120,61,2018,1,563.00
121,61,2018,2,536.00
122,61,2017,1,533.00
123,62,2019,1,544.00
124,62,2018,1,548.00
125,62,2017,1,524.00
126,63,2019,1,484.00
127,63,2018,1,457.00
128,63,2017,1,418.00
129,64,2019,2,561.00
130,64,2019,1,517.00
131,64,2018,2,552.00
132,64,2018,1,515.00
133,64,2017,1,482.00
134,65,2019,2,558.00
135,65,2019,1,543.00
136,65,2018,1,561.00
137,65,2018,2,540.00
138,65,2017,1,517.00
